Name,Label,Type,Description
year,Year,integer,"Year in which TSA detections occurred."
code,"Airport code",string,"International Air Transport Association airport code provided by TSA."
name,"Airport name",string,"Official name of airport, provided by https://ourairports.com/."
municipality,"Airport municipality",string,"What municipality the airport is located in, provided by https://ourairports.com/."
state,State,string,"State in which the airport is located. Derived from iso_region column from http://ourairports.com/."
loaded_total,"Loaded guns detected",integer,"The total number of loaded guns detected by TSA in a given year at a given airport."
unloaded_total,"Unloaded guns detected",integer,"The total number of unloaded guns detected by TSA in a given year at a given airport."
unknown_total,"Unknown loaded status detections",integer,"The total number of guns recovered by TSA in a given year at a given airport where the loaded/unloaded status was not known."
total_weapon_count,"Total gun detections",integer,"The total number of guns detected by TSA in a given year at a given airport, regardless of loaded/unloaded status."
throughput,"Number of passengers screened",integer,"The total number of passengers screened by TSA in a given year at a given airport."
rate,"Gun detections per 100k",float,"The rate of gun recoveries per throughput for every 100,000 screenings: total_weapon_count ÷ throughput × 100,000"
id,"Airport ID",integer,"Integer airport ID given by https://ourairports.com/. Remains constant even if airport code changes."
type,"Airport size",string,"Small, medium or large airport designation as provided by https://ourairports.com/."
latitude_deg,"Airport latitude",float,"Airport latitude in decimal degrees (positive for north) as provided by https://ourairports.com/."
longitude_deg,"Airport longitude",float,"The airport longitude in decimal degrees (positive for east) as provided by https://ourairports.com/."
elevation_ft,"Airport elevation",integer,"Airport elevation from mean sea level in feet not meters as provided by https://ourairports.com/."
iso_country,"Airport country",string,"ISO country code of airport location. This dataset only contains U.S. airports. Provided by https://ourairports.com/."
iso_region,"Airport region",string,"ISO region code. This dataset contains only U.S. states and territories. Provided by https://ourairports.com/."
state_abbr,"Airport state postal abbreviation",string,"Airport state postal abbreviation generated from iso_region column."
wikipedia_link,"Airport Wikipedia link",string,"Link to airport's Wikipedia where available. Provided by https://ourairports.com/."
